iteration,score,best_score,elapsed_sec,params_json
42,-0.5156986660027161,-0.7593554221866912,389.3393,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.09648481901, ""learning_rate"": 0.000447780727, ""new_fc_1"": 23, ""new_fc_10"": 16, ""new_fc_2"": 3, ""new_fc_3"": 18, ""new_fc_4"": 10, ""new_fc_5"": 28, ""new_fc_6"": 29, ""new_fc_7"": 3, ""new_fc_8"": 5, ""new_fc_9"": 5, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
43,-0.28903322504308127,-0.7593554221866912,597.4716,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.059664619697, ""learning_rate"": 0.000141920295, ""new_fc_1"": 31, ""new_fc_10"": 23, ""new_fc_2"": 4, ""new_fc_3"": 11, ""new_fc_4"": 17, ""new_fc_5"": 25, ""new_fc_6"": 11, ""new_fc_7"": 18, ""new_fc_8"": 25, ""new_fc_9"": 7, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 8}"
44,-0.4752152546648559,-0.7593554221866912,1885.0311,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.249334178876, ""learning_rate"": 0.000434200017, ""new_fc_1"": 21, ""new_fc_10"": 8, ""new_fc_2"": 11, ""new_fc_3"": 25, ""new_fc_4"": 7, ""new_fc_5"": 0, ""new_fc_6"": 23, ""new_fc_7"": 20, ""new_fc_8"": 21, ""new_fc_9"": 32, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
45,-0.6620397192656708,-0.7593554221866912,4134.055,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.237994587567, ""learning_rate"": 0.000204077371, ""new_fc_1"": 29, ""new_fc_10"": 21, ""new_fc_2"": 20, ""new_fc_3"": 8, ""new_fc_4"": 27, ""new_fc_5"": 5, ""new_fc_6"": 19, ""new_fc_7"": 10, ""new_fc_8"": 19, ""new_fc_9"": 22, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
46,-0.3319890190374527,-0.7593554221866912,4401.5885,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.122222233324, ""learning_rate"": 0.000805786065, ""new_fc_1"": 31, ""new_fc_10"": 11, ""new_fc_2"": 20, ""new_fc_3"": 29, ""new_fc_4"": 17, ""new_fc_5"": 14, ""new_fc_6"": 32, ""new_fc_7"": 32, ""new_fc_8"": 3, ""new_fc_9"": 7, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 4}"
47,-0.7717824542643127,-0.7717824542643127,5269.6836,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.053446328335, ""learning_rate"": 0.000435030099, ""new_fc_1"": 24, ""new_fc_10"": 26, ""new_fc_2"": 1, ""new_fc_3"": 18, ""new_fc_4"": 14, ""new_fc_5"": 25, ""new_fc_6"": 28, ""new_fc_7"": 17, ""new_fc_8"": 12, ""new_fc_9"": 5, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
48,-0.44125791493731686,-0.7717824542643127,7277.2118,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.366952897346, ""learning_rate"": 0.000253410001, ""new_fc_1"": 14, ""new_fc_10"": 6, ""new_fc_2"": 12, ""new_fc_3"": 3, ""new_fc_4"": 12, ""new_fc_5"": 20, ""new_fc_6"": 2, ""new_fc_7"": 11, ""new_fc_8"": 3, ""new_fc_9"": 2, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 2}"
49,-0.7732220991717529,-0.7732220991717529,7664.6612,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.210852391799, ""learning_rate"": 0.000720717667, ""new_fc_1"": 26, ""new_fc_10"": 3, ""new_fc_2"": 29, ""new_fc_3"": 27, ""new_fc_4"": 2, ""new_fc_5"": 14, ""new_fc_6"": 24, ""new_fc_7"": 18, ""new_fc_8"": 24, ""new_fc_9"": 3, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
50,-0.3721128574936924,-0.7732220991717529,7812.9654,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.35707493434, ""learning_rate"": 0.000242022026, ""new_fc_1"": 21, ""new_fc_10"": 9, ""new_fc_2"": 1, ""new_fc_3"": 27, ""new_fc_4"": 1, ""new_fc_5"": 7, ""new_fc_6"": 18, ""new_fc_7"": 22, ""new_fc_8"": 12, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
51,-0.5955460737915801,-0.7732220991717529,8200.4511,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.457115748954, ""learning_rate"": 0.000535885816, ""new_fc_1"": 11, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 18, ""new_fc_4"": 11, ""new_fc_5"": 20, ""new_fc_6"": 29, ""new_fc_7"": 24, ""new_fc_8"": 13, ""new_fc_9"": 14, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 5}"
52,-0.4350489127451934,-0.7732220991717529,8827.6596,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.188573540047, ""learning_rate"": 0.000620182542, ""new_fc_1"": 6, ""new_fc_10"": 4, ""new_fc_2"": 22, ""new_fc_3"": 0, ""new_fc_4"": 1, ""new_fc_5"": 25, ""new_fc_6"": 9, ""new_fc_7"": 15, ""new_fc_8"": 11, ""new_fc_9"": 14, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
53,-0.5434389980865555,-0.7732220991717529,9215.5105,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.427466906645, ""learning_rate"": 0.000577251879, ""new_fc_1"": 26, ""new_fc_10"": 12, ""new_fc_2"": 2, ""new_fc_3"": 23, ""new_fc_4"": 5, ""new_fc_5"": 3, ""new_fc_6"": 11, ""new_fc_7"": 13, ""new_fc_8"": 4, ""new_fc_9"": 2, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 6}"
54,-0.3263301210430813,-0.7732220991717529,9483.1986,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.402425641886, ""learning_rate"": 0.00046203624, ""new_fc_1"": 32, ""new_fc_10"": 2, ""new_fc_2"": 3, ""new_fc_3"": 30, ""new_fc_4"": 14, ""new_fc_5"": 28, ""new_fc_6"": 32, ""new_fc_7"": 24, ""new_fc_8"": 1, ""new_fc_9"": 18, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 4}"
55,-0.3604100890430813,-0.7732220991717529,10231.5751,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.499163619513, ""learning_rate"": 0.000386326632, ""new_fc_1"": 30, ""new_fc_10"": 13, ""new_fc_2"": 9, ""new_fc_3"": 6, ""new_fc_4"": 5, ""new_fc_5"": 5, ""new_fc_6"": 15, ""new_fc_7"": 8, ""new_fc_8"": 22, ""new_fc_9"": 7, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
56,-0.4882457085286255,-0.7732220991717529,10920.2303,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.324456675281, ""learning_rate"": 0.000401081831, ""new_fc_1"": 29, ""new_fc_10"": 10, ""new_fc_2"": 16, ""new_fc_3"": 13, ""new_fc_4"": 8, ""new_fc_5"": 3, ""new_fc_6"": 5, ""new_fc_7"": 12, ""new_fc_8"": 26, ""new_fc_9"": 17, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 3}"
57,-0.3797629856188621,-0.7732220991717529,11547.9567,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.446326403528, ""learning_rate"": 0.000212351422, ""new_fc_1"": 27, ""new_fc_10"": 1, ""new_fc_2"": 14, ""new_fc_3"": 16, ""new_fc_4"": 7, ""new_fc_5"": 16, ""new_fc_6"": 2, ""new_fc_7"": 26, ""new_fc_8"": 14, ""new_fc_9"": 9, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
58,-0.7909793823093414,-0.7909793823093414,13435.4152,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.215631798151, ""learning_rate"": 0.000159119453, ""new_fc_1"": 31, ""new_fc_10"": 8, ""new_fc_2"": 12, ""new_fc_3"": 8, ""new_fc_4"": 5, ""new_fc_5"": 23, ""new_fc_6"": 8, ""new_fc_7"": 3, ""new_fc_8"": 1, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 2}"
59,-0.4218774152990493,-0.7909793823093414,13822.8672,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.220300535496, ""learning_rate"": 0.000529801145, ""new_fc_1"": 14, ""new_fc_10"": 2, ""new_fc_2"": 3, ""new_fc_3"": 26, ""new_fc_4"": 1, ""new_fc_5"": 9, ""new_fc_6"": 1, ""new_fc_7"": 16, ""new_fc_8"": 9, ""new_fc_9"": 29, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
60,-0.356256320333786,-0.7909793823093414,14031.0221,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.356640505733, ""learning_rate"": 0.000102293614, ""new_fc_1"": 23, ""new_fc_10"": 7, ""new_fc_2"": 11, ""new_fc_3"": 10, ""new_fc_4"": 21, ""new_fc_5"": 22, ""new_fc_6"": 14, ""new_fc_7"": 6, ""new_fc_8"": 32, ""new_fc_9"": 5, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 2}"
61,-0.6375496518827819,-0.7909793823093414,16039.1118,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.03170703823, ""learning_rate"": 0.00096170778, ""new_fc_1"": 15, ""new_fc_10"": 0, ""new_fc_2"": 15, ""new_fc_3"": 11, ""new_fc_4"": 1, ""new_fc_5"": 6, ""new_fc_6"": 30, ""new_fc_7"": 22, ""new_fc_8"": 0, ""new_fc_9"": 25, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 7}"
62,-0.5619680035272674,-0.7909793823093414,18106.6425,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.312457314814, ""learning_rate"": 0.000228461452, ""new_fc_1"": 27, ""new_fc_10"": 3, ""new_fc_2"": 10, ""new_fc_3"": 18, ""new_fc_4"": 1, ""new_fc_5"": 31, ""new_fc_6"": 19, ""new_fc_7"": 25, ""new_fc_8"": 7, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 6}"
63,-0.534635046942749,-0.7909793823093414,18673.8406,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.168548805083, ""learning_rate"": 0.000448941369, ""new_fc_1"": 23, ""new_fc_10"": 0, ""new_fc_2"": 0, ""new_fc_3"": 4, ""new_fc_4"": 15, ""new_fc_5"": 17, ""new_fc_6"": 23, ""new_fc_7"": 14, ""new_fc_8"": 32, ""new_fc_9"": 27, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 3}"
64,-0.6281522905259094,-0.7909793823093414,19661.1485,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.067285663587, ""learning_rate"": 0.00036119697, ""new_fc_1"": 3, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 7, ""new_fc_4"": 19, ""new_fc_5"": 9, ""new_fc_6"": 8, ""new_fc_7"": 1, ""new_fc_8"": 3, ""new_fc_9"": 16, ""num_neurons"": 8, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
65,-0.5493816464870986,-0.7909793823093414,20828.5076,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.082393625443, ""learning_rate"": 0.000278371851, ""new_fc_1"": 16, ""new_fc_10"": 11, ""new_fc_2"": 16, ""new_fc_3"": 15, ""new_fc_4"": 4, ""new_fc_5"": 24, ""new_fc_6"": 9, ""new_fc_7"": 29, ""new_fc_8"": 8, ""new_fc_9"": 24, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 4}"
66,-0.45572585952726746,-0.7909793823093414,21877.8115,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.495288191507, ""learning_rate"": 0.000596460189, ""new_fc_1"": 32, ""new_fc_10"": 17, ""new_fc_2"": 21, ""new_fc_3"": 2, ""new_fc_4"": 2, ""new_fc_5"": 7, ""new_fc_6"": 18, ""new_fc_7"": 8, ""new_fc_8"": 21, ""new_fc_9"": 0, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 3}"
67,-0.7564281097302551,-0.7909793823093414,570.1965,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.182414635301, ""learning_rate"": 0.000142954557, ""new_fc_1"": 23, ""new_fc_10"": 10, ""new_fc_2"": 28, ""new_fc_3"": 0, ""new_fc_4"": 2, ""new_fc_5"": 21, ""new_fc_6"": 31, ""new_fc_7"": 17, ""new_fc_8"": 24, ""new_fc_9"": 1, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 3}"
68,-0.7525018657139587,-0.7909793823093414,839.667,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.259168763693, ""learning_rate"": 0.000289816937, ""new_fc_1"": 24, ""new_fc_10"": 15, ""new_fc_2"": 15, ""new_fc_3"": 4, ""new_fc_4"": 11, ""new_fc_5"": 12, ""new_fc_6"": 32, ""new_fc_7"": 1, ""new_fc_8"": 32, ""new_fc_9"": 12, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 7}"
69,-0.40907108403881076,-0.7909793823093414,1348.791,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.083547537368, ""learning_rate"": 0.000874776846, ""new_fc_1"": 0, ""new_fc_10"": 8, ""new_fc_2"": 8, ""new_fc_3"": 26, ""new_fc_4"": 16, ""new_fc_5"": 1, ""new_fc_6"": 17, ""new_fc_7"": 27, ""new_fc_8"": 32, ""new_fc_9"": 21, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 6}"
70,-0.4918099220135803,-0.7909793823093414,3538.7095,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.353502621816, ""learning_rate"": 0.000180213122, ""new_fc_1"": 10, ""new_fc_10"": 7, ""new_fc_2"": 13, ""new_fc_3"": 5, ""new_fc_4"": 0, ""new_fc_5"": 14, ""new_fc_6"": 12, ""new_fc_7"": 3, ""new_fc_8"": 11, ""new_fc_9"": 19, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 4}"
71,-0.5377677525674363,-0.7909793823093414,5608.0916,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.100781935001, ""learning_rate"": 0.000370558438, ""new_fc_1"": 27, ""new_fc_10"": 23, ""new_fc_2"": 8, ""new_fc_3"": 22, ""new_fc_4"": 5, ""new_fc_5"": 16, ""new_fc_6"": 0, ""new_fc_7"": 7, ""new_fc_8"": 16, ""new_fc_9"": 16, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
72,-0.36425481704308127,-0.7909793823093414,6297.6802,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.423841303339, ""learning_rate"": 0.000285096714, ""new_fc_1"": 9, ""new_fc_10"": 17, ""new_fc_2"": 2, ""new_fc_3"": 11, ""new_fc_4"": 20, ""new_fc_5"": 6, ""new_fc_6"": 19, ""new_fc_7"": 10, ""new_fc_8"": 26, ""new_fc_9"": 17, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 3}"
73,-0.38256381448127363,-0.7909793823093414,6746.8898,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.463053010866, ""learning_rate"": 0.000493534391, ""new_fc_1"": 6, ""new_fc_10"": 9, ""new_fc_2"": 4, ""new_fc_3"": 16, ""new_fc_4"": 9, ""new_fc_5"": 24, ""new_fc_6"": 6, ""new_fc_7"": 22, ""new_fc_8"": 19, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 7}"
74,-0.5308686949318847,-0.7909793823093414,7795.9024,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.46069710377, ""learning_rate"": 0.000147270247, ""new_fc_1"": 28, ""new_fc_10"": 2, ""new_fc_2"": 0, ""new_fc_3"": 6, ""new_fc_4"": 21, ""new_fc_5"": 10, ""new_fc_6"": 26, ""new_fc_7"": 4, ""new_fc_8"": 19, ""new_fc_9"": 8, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 3}"
75,-0.7833759278214569,-0.7909793823093414,8005.6005,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.056029962696, ""learning_rate"": 0.000411030833, ""new_fc_1"": 15, ""new_fc_10"": 17, ""new_fc_2"": 26, ""new_fc_3"": 31, ""new_fc_4"": 30, ""new_fc_5"": 2, ""new_fc_6"": 2, ""new_fc_7"": 20, ""new_fc_8"": 18, ""new_fc_9"": 3, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
76,-0.38099127788045883,-0.7909793823093414,8334.6071,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.184276096328, ""learning_rate"": 0.000309070419, ""new_fc_1"": 25, ""new_fc_10"": 3, ""new_fc_2"": 14, ""new_fc_3"": 22, ""new_fc_4"": 6, ""new_fc_5"": 6, ""new_fc_6"": 6, ""new_fc_7"": 21, ""new_fc_8"": 4, ""new_fc_9"": 10, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
77,-0.4359960782976913,-0.7909793823093414,8663.9082,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.055624289904, ""learning_rate"": 0.00077021614, ""new_fc_1"": 20, ""new_fc_10"": 5, ""new_fc_2"": 13, ""new_fc_3"": 13, ""new_fc_4"": 11, ""new_fc_5"": 18, ""new_fc_6"": 12, ""new_fc_7"": 0, ""new_fc_8"": 10, ""new_fc_9"": 1, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
78,-0.6733482688173829,-0.7909793823093414,9054.4462,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.244705568078, ""learning_rate"": 0.000284898709, ""new_fc_1"": 8, ""new_fc_10"": 9, ""new_fc_2"": 1, ""new_fc_3"": 30, ""new_fc_4"": 8, ""new_fc_5"": 11, ""new_fc_6"": 26, ""new_fc_7"": 13, ""new_fc_8"": 28, ""new_fc_9"": 29, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 7}"
79,-0.3886325724393539,-0.7909793823093414,9683.3187,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.34673623107, ""learning_rate"": 0.000127824483, ""new_fc_1"": 2, ""new_fc_10"": 7, ""new_fc_2"": 6, ""new_fc_3"": 0, ""new_fc_4"": 11, ""new_fc_5"": 27, ""new_fc_6"": 26, ""new_fc_7"": 28, ""new_fc_8"": 10, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 3}"
80,-0.4076025590820885,-0.7909793823093414,10312.5279,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.049043953922, ""learning_rate"": 0.000459511567, ""new_fc_1"": 8, ""new_fc_10"": 1, ""new_fc_2"": 5, ""new_fc_3"": 32, ""new_fc_4"": 26, ""new_fc_5"": 29, ""new_fc_6"": 28, ""new_fc_7"": 3, ""new_fc_8"": 1, ""new_fc_9"": 10, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
81,-0.4376567022976913,-0.7909793823093414,10881.5462,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.319972632668, ""learning_rate"": 0.000364144792, ""new_fc_1"": 0, ""new_fc_10"": 20, ""new_fc_2"": 1, ""new_fc_3"": 3, ""new_fc_4"": 30, ""new_fc_5"": 9, ""new_fc_6"": 7, ""new_fc_7"": 25, ""new_fc_8"": 14, ""new_fc_9"": 4, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 1}"
82,-0.6616171731294402,-0.7909793823093414,12111.5588,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.034389251251, ""learning_rate"": 0.00048987622, ""new_fc_1"": 30, ""new_fc_10"": 5, ""new_fc_2"": 14, ""new_fc_3"": 2, ""new_fc_4"": 7, ""new_fc_5"": 20, ""new_fc_6"": 14, ""new_fc_7"": 27, ""new_fc_8"": 28, ""new_fc_9"": 18, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 8}"
83,-0.525240584444786,-0.7909793823093414,12680.509,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.161500901584, ""learning_rate"": 0.000254760868, ""new_fc_1"": 28, ""new_fc_10"": 9, ""new_fc_2"": 12, ""new_fc_3"": 18, ""new_fc_4"": 25, ""new_fc_5"": 4, ""new_fc_6"": 15, ""new_fc_7"": 8, ""new_fc_8"": 5, ""new_fc_9"": 15, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 3}"
84,-0.695550694064041,-0.7909793823093414,12889.4455,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.204231703626, ""learning_rate"": 0.000268320474, ""new_fc_1"": 23, ""new_fc_10"": 10, ""new_fc_2"": 11, ""new_fc_3"": 7, ""new_fc_4"": 17, ""new_fc_5"": 4, ""new_fc_6"": 26, ""new_fc_7"": 14, ""new_fc_8"": 0, ""new_fc_9"": 16, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 8}"
85,-0.41769559275101853,-0.7909793823093414,13218.6233,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.222443059939, ""learning_rate"": 0.000466604149, ""new_fc_1"": 31, ""new_fc_10"": 12, ""new_fc_2"": 3, ""new_fc_3"": 21, ""new_fc_4"": 7, ""new_fc_5"": 2, ""new_fc_6"": 11, ""new_fc_7"": 21, ""new_fc_8"": 2, ""new_fc_9"": 18, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 3}"
86,-0.40783150080651853,-0.7909793823093414,15589.137,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.262437445401, ""learning_rate"": 0.000307904857, ""new_fc_1"": 31, ""new_fc_10"": 21, ""new_fc_2"": 28, ""new_fc_3"": 22, ""new_fc_4"": 5, ""new_fc_5"": 28, ""new_fc_6"": 20, ""new_fc_7"": 1, ""new_fc_8"": 9, ""new_fc_9"": 8, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 3}"
87,-0.7479420972792511,-0.7909793823093414,16218.0275,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.226569806266, ""learning_rate"": 0.000418834974, ""new_fc_1"": 29, ""new_fc_10"": 0, ""new_fc_2"": 0, ""new_fc_3"": 0, ""new_fc_4"": 7, ""new_fc_5"": 0, ""new_fc_6"": 19, ""new_fc_7"": 2, ""new_fc_8"": 31, ""new_fc_9"": 10, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
