event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
11,10,flops,,,4.513238586666667,676985788.0,16484170.0,,4578.0068,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.424085958969, ""learning_rate"": 0.000483482328, ""new_fc_1"": 7, ""new_fc_10"": 18, ""new_fc_2"": 0, ""new_fc_3"": 21, ""new_fc_4"": 16, ""new_fc_5"": 6, ""new_fc_6"": 24, ""new_fc_7"": 3, ""new_fc_8"": 5, ""new_fc_9"": 30, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 5}"
12,10,flops,,,0.012821973333333334,1923296.0,27686.0,,4578.9929,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.096768956438, ""learning_rate"": 0.000734316253, ""new_fc_1"": 3, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 19, ""new_fc_4"": 13, ""new_fc_5"": 24, ""new_fc_6"": 24, ""new_fc_7"": 2, ""new_fc_8"": 4, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
13,11,accuracy,0.803399994969368,0.19660000503063202,0.012821973333333334,1923296.0,27686.0,-0.43377341152144244,4843.2239,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.096768956438, ""learning_rate"": 0.000734316253, ""new_fc_1"": 3, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 19, ""new_fc_4"": 13, ""new_fc_5"": 24, ""new_fc_6"": 24, ""new_fc_7"": 2, ""new_fc_8"": 4, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
14,11,flops,,,2.2469458933333333,337041884.0,2181098.0,,4844.2835,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.395865352792, ""learning_rate"": 0.000519698814, ""new_fc_1"": 6, ""new_fc_10"": 10, ""new_fc_2"": 23, ""new_fc_3"": 8, ""new_fc_4"": 15, ""new_fc_5"": 1, ""new_fc_6"": 21, ""new_fc_7"": 18, ""new_fc_8"": 20, ""new_fc_9"": 11, ""num_neurons"": 32, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
15,11,flops,,,0.30113485333333334,45170228.0,893650.0,,4845.296,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.164102057347, ""learning_rate"": 0.000232439619, ""new_fc_1"": 24, ""new_fc_10"": 24, ""new_fc_2"": 29, ""new_fc_3"": 25, ""new_fc_4"": 2, ""new_fc_5"": 3, ""new_fc_6"": 17, ""new_fc_7"": 10, ""new_fc_8"": 10, ""new_fc_9"": 15, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
16,12,accuracy,0.3374999761581421,0.6625000238418579,0.30113485333333334,45170228.0,893650.0,-0.6734095606893005,6909.9344,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.164102057347, ""learning_rate"": 0.000232439619, ""new_fc_1"": 24, ""new_fc_10"": 24, ""new_fc_2"": 29, ""new_fc_3"": 25, ""new_fc_4"": 2, ""new_fc_5"": 3, ""new_fc_6"": 17, ""new_fc_7"": 10, ""new_fc_8"": 10, ""new_fc_9"": 15, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
17,12,flops,,,2.605689786666667,390853468.0,13278282.0,,6911.4609,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.099903928029, ""learning_rate"": 0.000251114564, ""new_fc_1"": 21, ""new_fc_10"": 13, ""new_fc_2"": 4, ""new_fc_3"": 8, ""new_fc_4"": 10, ""new_fc_5"": 4, ""new_fc_6"": 5, ""new_fc_7"": 32, ""new_fc_8"": 15, ""new_fc_9"": 23, ""num_neurons"": 32, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 8}"
18,12,flops,,,5.263745253333333,789561788.0,14500874.0,,6912.8441,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.427988866846, ""learning_rate"": 0.000876725704, ""new_fc_1"": 3, ""new_fc_10"": 12, ""new_fc_2"": 6, ""new_fc_3"": 21, ""new_fc_4"": 29, ""new_fc_5"": 21, ""new_fc_6"": 28, ""new_fc_7"": 10, ""new_fc_8"": 15, ""new_fc_9"": 5, ""num_neurons"": 64, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
19,12,flops,,,0.04393954666666667,6590932.0,149178.0,,6913.6419,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.346760590585, ""learning_rate"": 0.000174048206, ""new_fc_1"": 16, ""new_fc_10"": 17, ""new_fc_2"": 24, ""new_fc_3"": 11, ""new_fc_4"": 28, ""new_fc_5"": 0, ""new_fc_6"": 1, ""new_fc_7"": 32, ""new_fc_8"": 0, ""new_fc_9"": 9, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 7}"
20,12,flops,,,0.03525736,5288604.0,261594.0,,6914.515,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.08792907642, ""learning_rate"": 0.000552294161, ""new_fc_1"": 30, ""new_fc_10"": 21, ""new_fc_2"": 28, ""new_fc_3"": 2, ""new_fc_4"": 1, ""new_fc_5"": 8, ""new_fc_6"": 29, ""new_fc_7"": 13, ""new_fc_8"": 19, ""new_fc_9"": 13, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 7}"
21,13,accuracy,0.8797999992966652,0.12020000070333481,0.04393954666666667,6590932.0,149178.0,-0.37095813649233433,7058.7071,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.346760590585, ""learning_rate"": 0.000174048206, ""new_fc_1"": 16, ""new_fc_10"": 17, ""new_fc_2"": 24, ""new_fc_3"": 11, ""new_fc_4"": 28, ""new_fc_5"": 0, ""new_fc_6"": 1, ""new_fc_7"": 32, ""new_fc_8"": 0, ""new_fc_9"": 9, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 7}"
22,13,flops,,,0.05649784,8474676.0,465738.0,,7059.5176,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.34388458431, ""learning_rate"": 0.000218547103, ""new_fc_1"": 17, ""new_fc_10"": 26, ""new_fc_2"": 8, ""new_fc_3"": 28, ""new_fc_4"": 16, ""new_fc_5"": 4, ""new_fc_6"": 26, ""new_fc_7"": 14, ""new_fc_8"": 24, ""new_fc_9"": 20, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 4}"
